AFG|AFGANISTAN|AFGANO
ARE|EMIRATOS ARABES UNIDOS|DE LOS EMIRATOS ARABES UNIDOS
ERI|ERITREA|ERITREO
SVK|ESLOVAQUIA|ESLOVACO
SVN|ESLOVENIA|ESLOVENO
ESP|ESPAÑA|ESPAÑOL
USA|ESTADOS UNIDOS DE AMERICA|ESTADOUNIDENSE
EST|ESTONIA|ESTONIO
ETH|ETIOPIA|ETIOPE
RUS|FEDERACION DE RUSIA|DE LA FEDERACION DE RUSIA
FJI|FIJI|DE FIJI
PHL|FILIPINAS|FILIPINO
FIN|FINLANDIA|FINLANDES
FRA|FRANCIA|FRANCES
GAB|GABON|GABONES
GMB|GAMBIA|GAMBIANO
GEO|GEORGIA|GEORGIANO
GHA|GHANA|GHANES
GIB|GIBRALTAR|BRITANICO
GRD|GRANADA|GRANADINO
GRC|GRECIA|GRIEGO
GRL|GROENLANDIA|DANES
GLP|GUADALUPE|GUADALUPANO
GUM|GUAM|ESTADOUNIDENSE
GTM|GUATEMALA|GUATEMALTECO
GUF|GUAYANA FRANCESA|FRANCES GUYANES
GIN|GUINEA|GUINEO
GNB|GUINEA BISSAU|DE GUINEA BISSAU
GNQ|GUINEA ECUATORIAL|GUINEANO
GUY|GUYANA|GUYANES
HTI|HAITI|HAITIANO
HND|HONDURAS|HONDUREÑO
HKG|HONG KONG|CHINO
HUN|HUNGRIA|HUNGARO
IND|INDIA|INDU/INDIO
IDN|INDONESIA|INDONESIO
IRN|IRAN|IRANI
IRQ|IRAQ|IRAQUI
IRL|IRLANDA|IRLANDES
BVT|ISLA BOUVET|NORUEGO
CXR|ISLA DE CHRISTMAS|AUSTRALIANO
NFK|ISLA NORFOLK|AUSTRALIANO
ISL|ISLANDIA|ISLANDES
CYM|ISLAS CAIMAN|BRITANICO
COK|ISLAS COOK|DE LAS ISLAS COOK
CCK|ISLAS DE COCOS (KEELING)|DE AUSTRALIA
FLK|ISLAS FALKLAND (MALVINAS)|BRITANICO
FRO|ISLAS FAROE|DANES
SGS|ISLAS GEORGIA DEL SUR Y SANDWICH DEL SUR|BRITANICO
HMD|ISLAS HEARD Y MCDONALD|AUSTRALIANO
MNP|ISLAS MARIANAS DEL NORTE|ESTADOUNIDENSE
MHL|ISLAS MARSHALL|DE LAS ISLAS MARSHALL
UMI|ISLAS MENORES PERIFERICAS DE ESTADOS UNIDOS DE AME|ESTADOUNIDENSE
SLB|ISLAS SALOMON|DE LAS ISLAS SALOMON
TCA|ISLAS TURCAS Y CAICOS|BRITANICO
VGB|ISLAS VIRGENES BRITANICAS|BRITANICO
VIR|ISLAS VIRGENES DE ESTADOS UNIDOS DE AMERICA|ESTADOUNIDENSE
ISR|ISRAEL|ISRAELI
ITA|ITALIA|ITALIANO
JAM|JAMAICA|JAMAIQUINO
JPN|JAPON|JAPONES
JOR|JORDANIA|JORDANO
KAZ|KAZAJSTAN|KAZAKO
KEN|KENIA|KENIANO
KGZ|KIRGUISTAN|KIRGUIS
KIR|KIRIBATI|KIRIBATIANO
KWT|KUWAIT|KUWAITI
LSO|LESOTHO|LESOTHO
LVA|LETONIA|LETON
LBN|LIBANO|LIBANES
LBR|LIBERIA|LIBERIANO
LBY|LIBIA|LIBIO
LIE|LIECHTENSTEIN|DE LIECHTENSTEIN
LTU|LITUANIA|LITUANO
LUX|LUXEMBURGO|LUXEMBURGUES
MAC|MACAU|CHINO
MKD|MACEDONIA|MACEDONIO
MDG|MADAGASCAR|MALGACHE
MYS|MALASIA|MALASIO
MWI|MALAWI|MALAWIANO
MDV|MALDIVAS|MALDIVO
MLI|MALI|MALIENSE
MLT|MALTA|MALTES
MAR|MARRUECOS|MARROQUI
MTQ|MARTINICA|FRANCES
MUS|MAURICIO|MAURICIANO
MRT|MAURITANIA|MAURITANO
MYT|MAYOTTE|FRANCES
MEX|MEXICO|MEXICANO
FSM|MICRONESIA|DE LOS ESTADOS FEDERADOS DE MICRONESIA
MCO|MONACO|MONEGASCO
MNG|MONGOLIA|MONGOL
MSR|MONTSERRAT|BRITANICO
MOZ|MOZAMBIQUE|MOZAMBIQUEÑO
MMR|MYANMAR|DE MYANMAR
NAM|NAMIBIA|NAMIBIANO
NRU|NAURU|NAURUANO
NPL|NEPAL|NEPALES
NIC|NICARAGUA|NICARAGÜENSE
NER|NIGER|NIGERINO
NGA|NIGERIA|NIGERIANO
NIU|NIUE|DE NIUE
NOR|NORUEGA|NORUEGO
NCL|NUEVA CALEDONIA|FRANCES
NZL|NUEVA ZELANDIA|NEOZELANDES
OMN|OMAN|OMANI
NLD|PAISES BAJOS|HOLANDES
PAK|PAKISTAN|PAKISTANI
PLW|PALAU|DE PALAU
PAN|PANAMA|PANAMEÑO
PNG|PAPUA NUEVA GUINEA|DE PAPUA NUEVA GUINEA
PRY|PARAGUAY|PARAGUAYO
PER|PERU|PERUANO
PCN|PITCAIRN|BRITANICO
PYF|POLINESIA FRANCESA|FRANCES
POL|POLONIA|POLACO
PRT|PORTUGAL|PORTUGUES
PRI|PUERTO RICO|ESTADOUNIDENSE
QAT|QATAR|DE QATAR
GRB|REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE|BRITANICO
SYR|REPUBLICA ARABE SIRIA|SIRIO
CAF|REPUBLICA CENTROAFRICANA|CENTROAFRICANO
CZE|REPUBLICA CHECA|CHECO
KOR|REPUBLICA DE COREA|DE LA REPUBLICA DE COREA
MDA|REPUBLICA DE MOLDOVA|MOLDOVO
COD|REPUBLICA DEMOCRATICA DEL CONGO|DE REPUBLICA DEMOCRATICA DEL CONGO
LAO|REPUBLICA DEMOCRATICA POPULAR DE LAO|LAOSIANO
DMO|REPUBLICA DOMINICANA|DOMINICANO
PRK|REPUBLICA POPULAR DEMOCRATICA DE COREA|DE LA REPUBLICA POPULAR DEMOCRATICA DE COREA
TZA|REPUBLICA UNIDA DE TANZANIA|TANZANIANO
REU|REUNION|FRANCES
ROM|RUMANIA|RUMANO
RWA|RWANDA|RWANDES
ESH|SAHARA OCCIDENTAL|MARROQUI
WSM|SAMOA|SAMOANO
ASM|SAMOA AMERICANA|ESTADOUNIDENSE
KNA|SAN CRISTOBAL Y NEVIS|DE SAN CRISTOBAL Y NEVIS
SMR|SAN MARINO|SANMARINENSE
SPM|SAN PIERRE Y MIQUELON|FRANCES
VCT|SAN VICENTE Y LAS GRANADINAS|DE SAN VICENTE Y LAS GRANADINAS
SHN|SANTA HELENA|BRITANICO
LCA|SANTA LUCIA|SANTALUCENSE
VAT|SANTA SEDE (ESTADO CIUDAD DEL VATICANO)|DE LA SANTA SEDE
STP|SANTO TOME Y PRINCIPE|DE SANTO TOME Y PRINCIPE
SEN|SENEGAL|SENEGALES
SYC|SEYCHELLES|DE SEYCHELLES
SLE|SIERRA LEONA|SIERRALEONES
SGP|SINGAPUR|SINGAPURENSE
SOM|SOMALIA|SOMALI
LKA|SRI LANKA|DE SRI LANKA
ZAF|SUDAFRICA|SUDAFRICANO
SDN|SUDAN|SUDANES
SWE|SUECIA|SUECO
CHE|SUIZA|SUIZO
SUR|SURINAME|SURINAMES
SJM|SVALBARD Y JAN MAYEN|NORUEGO
SWZ|SWAZILANDIA|SWAZI
THA|TAILANDIA|TAILANDES
TWN|TAIWAN|CHINO
TJK|TAYIKISTAN|TAYIK
IOT|TERRITORIO BRITANICO DEL OCEANO INDICO|BRITANICO
ATF|TERRITORIOS FRANCESES DEL SUR|FRANCES
TMP|TIMOR DEL ESTE|AUSTRALIANO
TGO|TOGO|TOGOLES
TKL|TOKELAU|NEOZELANDES
TON|TONGA|TONGANO
TTO|TRINIDAD Y TOBAGO|DE TRINIDAD Y TOBAGO
TUN|TUNEZ|TUNECINO
TKM|TURKMENISTAN|TURCOMANO
TUR|TURQUIA|TURCO
TUV|TUVALU|DE TUVALU
UKR|UCRANIA|UCRANIO
UGA|UGANDA|UGANDES
URY|URUGUAY|URUGUAYO
UZB|UZBEKISTAN|UZBEKO
VUT|VANUATU|DE VANUATU
VEN|VENEZUELA|VENEZOLANO
VNM|VIETNAM|VIETNAMITA
WLF|WALLIS Y FUTUNA|FRANCES
YEM|YEMEN|YEMENITA
YUG|YUGOSLAVIA|YUGOSLAVO
ZMB|ZAMBIA|ZAMBIANO
ZWE|ZIMBABWE|ZIMBABWENSE
